publication_id	pmid	compound_id	compound  chebi_id
63	20856100	224	Arachidonic acid (AA; cis-20:4n-6)	15843
63	20856100	182	alpha-Linolenic acid (ALA; cis-18:3n-3)	27432
63	20856100	183	EPA (cis-20:5n-3)	28364
63	20856100	184	DHA (cis-22:6n-3)	28125
63	20856100	240	Selenium	27568
63	20856100	315	Energy	
63	20856100	236	Ascorbic acid	29073
63	20856100	189	Pyridoxal 5'-phosphate	18405
63	20856100	578	25-Hydroxycholecalciferol	17933
65	20417877	155	Thiamin	18385
65	20417877	156	Riboflavin	17015
65	20417877	159	Vitamin B6	
65	20417877	115	Vitamin B12	
65	20417877	670	Niacin	
65	20417877	160	Niacin (Niacin Equivalents)	
65	20417877	154	Pantothenic acid	46905
65	20417877	489	Folates	
65	20417877	134	Vitamin C	
65	20417877	157	4-Pyridoxic acid	17405
65	20417877	158	Nicotinamide metabolites	
65	20417877	161	Ascorbic acid metabolites	
65	20417877	605	Nicotinamide	17154
65	20417877	606	N-Methyl-2-pyridone-5-carboxamide	27410
65	20417877	607	N-Methyl-4-pyridone-3-carboxamide	27838
65	20417877	608	N-Methylnicotinamide	64399
65	20417877	236	Ascorbic acid	29073
65	20417877	590	L-Dehydroascorbic acid	27956
65	20417877	611	2,3-Diketogulonic acid	15622
66	20061366	83	alpha-Carotene	28425
66	20061366	89	beta-Carotene	17579
66	20061366	84	beta-Cryptoxanthin	10362
66	20061366	838	Lutein/Zeaxanthin	
66	20061366	86	Lycopene	15948
66	20061366	877	Folate (Dietary Folate Equivalents)	
66	20061366	237	alpha-Tocopherol	18145
66	20061366	489	Folates	
67	19923368	177	Fatty acids, saturated (SFA)	
67	19923368	178	Fatty acids, monounsaturated (MUFA)	
67	19923368	179	Fatty acids, polyunsaturated (PUFA)	
67	19923368	184	DHA (cis-22:6n-3)	28125
67	19923368	183	EPA (cis-20:5n-3)	28364
67	19923368	182	alpha-Linolenic acid (ALA; cis-18:3n-3)	27432
67	19923368	224	Arachidonic acid (AA; cis-20:4n-6)	15843
67	19923368	217	Linoleic acid (LA; cis-18:2n-6)	17351
67	19923368	267	Fats	
67	19923368	242	Palmitic acid (16:0)	15756
67	19923368	243	Stearic acid (18:0)	28842
67	19923368	244	cis-Octadecenoic acids (cis-18:1)	
67	19923368	245	Eicosadienoic acid (cis-20:2n-6)	73731
67	19923368	223	Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6)53486
67	19923368	247	Docosatetraenoic acid (DTA; cis-22:4n-6)	53487
67	19923368	225	Osbond acid (cis-22:5n-6)	65136
67	19923368	215	DPA (cis-22:5n-3)	53488
67	19923368	410	Fatty acids, n6-polyunsaturated (n6-PUFA)	
67	19923368	286	Fatty acids, n3-polyunsaturated (n3-PUFA)	
67	19923368	451	Fatty acids	
68	19371448	83	alpha-Carotene	28425
68	19371448	89	beta-Carotene	17579
68	19371448	84	beta-Cryptoxanthin	10362
