ChEBIID	PubMedIDs
47775	17622289,11063437,23758041,9625087,9625087,9625087,9625087,9625087,14647227,14580860,3728359,3728359,10037556,10037556,3684977,3684977,19748245,19748245,20359723,20359723,20359723,20359723,22257370,2304504,15623835,15623835,9925119,16483880,19828688,19828688,19828688,17161227,17161227,17161227,9845229,22507619,22507619,22507619
27732	19384973,19384973,19384973,19384973,19384973,19384973,19384973,15691625,15691625,15691625,15691625,15691625,15691625,15691625,15691625,15691625,15691625,15691625,14747639,14747639,14747639,14747639,14747639,14747639,14747639,14747639,12505289,12505289,11761118,11761118,11761118,11761118,11761118,11761118,11761118,11761118,23899213
16646	17622289,17622289,17622289,17258374,7962322,9625087,9625087,9625087,9625087,9625087,9625087,9625087,9625087,9625087,9625087,19807166,6467897,6467897,16205744,19735348,10744130,6983876,23514841,23514841,11237932,11237932,11237932,24064346,11570993,22347387,22347387,22347387,9845229,12921885,12921885,21353477
24621	17908159,11063437,7962322,7962322,7962322,19672114,19384973,19384973,19384973,11981061,12730404,23385969,23385969,9846591,9846591,9846591,12094627,12094627,12094627,12094627,12094627,12094627,12163659,3940928,2056153,2056153,69101,3179835,3179835,10798211,10798211,10195938,10195938,10195938,20386999
16247	11063437,11063437,16469979,18383031,23775014,23775014,23775014,23775014,16624837,19838922,19838922,19838922,19838922,16962297,21838914,9925119,9925119,22591904,12001981,12001981,12421348,12421348,12421348,12421348,12421348,12421348,11916268,11916268,11916268,22043987,19782169,19782169,19782169,14870827,14870827
25016	24464602,24464602,24464602,24464602,24464602,22963454,22464667,22464667,19329378,19329378,19329378,19329378,19329378,12585770,12585770,12585770,12585770,12585770,12585770,12585770,12585770,12585770,12585770,12585770,19088785,19088785,19465494,1527639,9884134,17142523,21736804,10511259
22977	24464602,24464602,24464602,24464602,24464602,22963454,19329378,19329378,11097801,20375264,20375264,20375264,20375264,20375264,20375264,20375264,10511259,11471865,11471865,11471865,11471865,11471865,11471865,11471865,11471865,11471865,11471865,11471865,11471865,11471865,11471865,11471865
21241	17951485,17951485,20805084,20805084,20805084,20805084,17158438,17158438,17158438,16465196,16465196,16465196,21586177,21586177,15685502,15685502,8347746,8347746,17684141,17684141,17684141,19088785,21729475,21729475,21729475,20375264,8063609,12879094,9126539,9126539,21353477
16016	21521543,21521543,22990856,22990856,22990856,22990856,21838914,21838914,21838914,21838914,8585694,21755327,22591904,22591904,22591904,22591904,22591904,22699835,22699835,22699835,22699835,22699835,22699835,22699835,22699835,22699835,22699835,12421348,12421348,12421348,12421348
3416	20169332,9550636,23743666,22166897,22420611,25049524,23134716,24500922,12094627,11401103,23775014,20880683,12163659,16962297,16962297,22257370,18929595,20938914,18938777,11464259,18171405,18987591,22699835,23796695,19093161,11916268,21917262,11570993,15213040,15992645
25212	17258374,17258374,17258374,17925592,23493899,21770373,22437553,22437553,22437553,17353586,17353586,17353586,12505289,12505289,11761118,11761118,11761118,11761118,11761118,18188415,18188415,24760553,24760553,24760553,24760553,24760553,18674555,18674555,19398656
26216	7759851,7759851,7759851,7759851,7759851,7759851,7759851,15230997,3949945,3949945,3949945,3949945,3949945,3949945,3949945,1706024,1706024,6685141,6685141,6685141,6685141,11464259,20461205,20461205,20461205,20461205,8921782,8921782,8921782
17997	17651532,17622289,17622289,23679960,16465196,16465196,16465196,1722997,1991968,1991968,1991968,18171405,19782169,19782169,19782169,19782169,19782169,19782169,19782169,15213040,15213040,15213040,15213040,15213040,15213040,15213040,9126539
